일원,3,0,2006,1308,8003,7858,21481,22804,24227,23620,17479,21557,17507,19737,20138,15469,19993,16889,18521,19319,19721,17623,21404,15438,24296,13849,31476,16251,18314,21700,10221,20225,8553,12429,5159,12003,3627,12620,1478,6598,184,2124,0,40,0,0,0,0
수서,186,3,7809,4978,18758,27190,63015,50583,89831,108469,62125,65240,60044,43599,49393,36401,58151,45506,57176,44764,43437,45415,57858,50108,64364,59416,76882,70351,110265,98545,51625,82148,48059,53936,34555,45477,32756,44724,17308,20609,953,6679,4,342,0,0,0,0
가락시장,41,0,5210,2629,11937,11184,31942,22435,42870,78854,30802,37093,26587,25500,29002,26740,29333,27954,30813,29517,32111,29715,34705,32481,35908,33120,40735,41325,66952,57550,31360,45335,25450,27728,27315,24725,20703,23613,9607,14793,1564,5020,2,694,0,0,0,0
경찰병원,22,2,2581,302,7506,2839,23508,8157,30246,34311,17874,16814,13229,10747,12685,7982,11052,9352,12079,12029,12844,11801,12794,11143,13078,11394,16974,15479,25311,23192,10103,21505,7381,12788,6801,11315,4430,11631,1740,7620,215,2012,0,0,0,0,0,0
오금,24,0,4520,346,10792,4120,36733,12707,46361,36520,24461,14373,15726,9856,14713,8549,15514,9761,15882,11173,13177,11534,13220,13677,14641,15543,20847,19237,31714,30406,12159,27870,8899,17857,8240,16405,6607,17872,2345,11424,261,3951,0,1,0,0,0,0
당고개,37,1,8264,16,16626,6621,49477,7932,53766,13360,34310,13516,25270,12989,22346,11247,22192,13520,22091,15020,20142,16350,18726,19838,18415,23720,19455,27435,18534,37499,12472,38804,7805,27645,6254,24695,4864,23858,2279,17722,417,6304,0,626,0,0,0,0
상계,78,3,13252,163,35342,7998,101709,10012,92847,20978,51944,18948,37196,15571,32611,17126,35157,21109,32703,23416,28181,24395,26382,28692,27084,35099,29065,44454,28361,66173,18808,72687,12945,45783,11953,40710,12763,38695,4808,30622,660,9279,3,1001,0,0,0,0
노원,182,5,20609,3142,41637,16126,100749,25388,108172,84387,66124,87515,61527,64836,64516,60456,71035,70705,75446,81038,75901,83339,82633,87016,86899,92434,88622,111664,97325,160215,66591,154290,68450,83137,61744,69218,59484,61619,28772,46187,5367,16243,5,764,0,0,0,0
창동,1883,80,16224,3022,39387,11463,108209,17633,96512,40811,61088,37867,47721,33731,46598,32722,50657,38733,49622,45288,45478,49149,46716,53344,48596,59032,52483,70304,56645,101898,31636,105573,23793,65882,22842,55843,20081,53084,10169,38524,1503,14120,0,46,0,0,0,0
쌍문,83,3,22487,1169,54063,10506,141391,14429,160172,30376,92841,25019,64152,22233,54559,23699,54995,28586,50946,32226,44161,36929,40939,44979,42285,54365,46395,70680,45858,109271,29743,120095,20433,76126,16871,65630,13265,64944,6433,44934,1093,15216,1,3,0,0,0,0
수유(강북구청),53,8,19753,3520,45976,11863,127573,19669,153213,59304,92611,43687,64239,35809,57708,37550,63262,42036,62463,47343,57134,51981,55870,60755,58554,70623,64188,86843,76258,137559,47407,139762,35115,86767,32097,77079,27047,72956,16502,48856,2564,14031,0,0,0,0,0,0
미아(서울사이버대학),33,1,9609,1807,20762,5826,54631,11814,66179,32645,40603,20883,28464,17809,25935,17605,29672,20623,29907,22124,26822,22542,25618,26767,26625,30505,28985,34935,32014,49925,19337,49564,13966,30344,12196,27277,9722,26436,3975,17179,575,4309,1,0,2,1,0,0
미아사거리,30,2,12998,2478,33107,11883,92454,15592,112945,35617,66736,37651,47119,31499,44085,32558,46835,38208,48597,39655,45603,43415,47534,51490,51730,57009,52644,71001,53733,106035,39634,101197,40257,57233,25343,51293,19557,49573,10566,30311,1767,7132,3,2,0,1,0,0
길음,10,0,8807,2019,28889,7770,88501,13658,102277,29713,55610,26329,37144,20382,33426,22081,35101,25370,34886,29991,32202,30351,31455,32615,34102,37788,38453,48307,38652,76373,24919,72576,17329,44827,13399,41928,11653,42955,4983,29694,804,6836,0,0,0,0,0,0
성신여대입구(돈암),53,13,6418,2148,19459,7309,56188,18491,73801,44507,46563,39504,36658,33395,37229,31644,43444,39225,45089,44222,43933,44387,46153,46768,50455,50154,58420,63363,65001,87097,43910,79532,37992,47113,40610,40796,38609,39816,18854,27245,3084,7354,0,14,3,4,0,0
